SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
12.0,WA,317831.0,2008,2.0,3762.2,6494.2,399801.0,47357.0,66.2,161.9,212.687,2325.8255,2.98,182.7,0.252,0.087,0.123,0.298,0.121,0.119,5.9175,6562231
19.0,WI,174184.0,2008,2.0,1627.5,1560.2,288584.9,46757.0,70.4,161.9,212.687,2325.8255,2.98,182.7,0.248,0.092,0.113,0.299,0.118,0.13,5.9175,5640996
36.0,WV,94137.0,2008,2.0,278.9,393.1,69550.0,40351.0,77.8,161.9,212.687,2325.8255,2.98,182.7,0.222,0.084,0.112,0.291,0.138,0.153,5.9175,1840310
50.0,WY,204967.0,2008,2.0,264.7,88.2,40474.9,58234.0,73.3,161.9,212.687,2325.8255,2.98,182.7,0.262,0.094,0.116,0.284,0.122,0.123,5.9175,546043
46.0,AK,263620.0,2008,3.0,140.8,393.7,48550.1,51624.0,66.4,162.1,213.448,2254.818,2.61,187.9,0.282,0.113,0.122,0.289,0.12,0.074,5.97,687455
22.0,AL,130256.0,2008,3.0,1256.3,1353.7,202569.5,42242.0,73.0,162.1,213.448,2254.818,2.61,187.9,0.258,0.095,0.113,0.282,0.118,0.135,5.97,4718206
31.0,AR,110171.0,2008,3.0,525.6,405.3,113170.5,40983.0,68.9,162.1,213.448,2254.818,2.61,187.9,0.263,0.09,0.114,0.276,0.117,0.141,5.97,2874554
15.0,AZ,235658.0,2008,3.0,1423.5,1692.8,307724.1,38967.0,69.1,162.1,213.448,2254.818,2.61,187.9,0.279,0.09,0.126,0.266,0.105,0.134,5.97,6280362
0.0,CA,445900.0,2008,3.0,27897.7,12446.0,2180243.6,43801.0,57.5,162.1,213.448,2254.818,2.61,187.9,0.272,0.101,0.126,0.288,0.102,0.112,5.97,36604337
21.0,CO,244581.0,2008,3.0,836.7,683.5,281408.9,46677.0,69.0,162.1,213.448,2254.818,2.61,187.9,0.259,0.093,0.132,0.3,0.113,0.103,5.97,4889730
28.0,CT,307199.0,2008,3.0,1743.8,1281.5,289701.3,61514.0,70.7,162.1,213.448,2254.818,2.61,187.9,0.249,0.082,0.102,0.314,0.119,0.134,5.97,3545579
49.0,DC,453264.0,2008,3.0,85.9,74.4,116122.6,60529.0,44.1,162.1,213.448,2254.818,2.61,187.9,0.209,0.111,0.161,0.285,0.115,0.118,5.97,580236
44.0,DE,271272.0,2008,3.0,1112.5,350.7,65726.9,45923.0,76.2,162.1,213.448,2254.818,2.61,187.9,0.257,0.09,0.109,0.288,0.121,0.136,5.97,883874
3.0,FL,229628.0,2008,3.0,4741.1,4335.4,909549.6,43264.0,71.1,162.1,213.448,2254.818,2.61,187.9,0.233,0.085,0.108,0.281,0.119,0.174,5.97,18527305
8.0,GA,169888.0,2008,3.0,4708.0,2390.0,484755.7,42027.0,68.2,162.1,213.448,2254.818,2.61,187.9,0.281,0.091,0.124,0.298,0.106,0.101,5.97,9504843
39.0,HI,528509.0,2008,3.0,445.5,212.3,77352.4,42839.0,59.1,162.1,213.448,2254.818,2.61,187.9,0.241,0.096,0.109,0.283,0.12,0.152,5.97,1332213
29.0,IA,124827.0,2008,3.0,885.7,984.2,163884.0,49431.0,74.0,162.1,213.448,2254.818,2.61,187.9,0.251,0.097,0.108,0.285,0.118,0.142,5.97,3016734
38.0,ID,205259.0,2008,3.0,393.7,410.8,63182.4,38633.0,75.0,162.1,213.448,2254.818,2.61,187.9,0.289,0.096,0.121,0.267,0.112,0.115,5.97,1534320
4.0,IL,225562.0,2008,3.0,9599.6,4510.4,763659.5,48415.0,68.9,162.1,213.448,2254.818,2.61,187.9,0.264,0.095,0.123,0.291,0.108,0.12,5.97,12747038
14.0,IN,122178.0,2008,3.0,2272.5,2174.3,328175.7,43045.0,74.4,162.1,213.448,2254.818,2.61,187.9,0.264,0.086,0.12,0.291,0.114,0.125,5.97,6424806
32.0,KS,123083.0,2008,3.0,842.2,1124.8,147756.9,51282.0,68.8,162.1,213.448,2254.818,2.61,187.9,0.265,0.097,0.117,0.28,0.112,0.128,5.97,2808076
25.0,KY,117126.0,2008,3.0,2415.2,1742.5,188247.3,41032.0,72.8,162.1,213.448,2254.818,2.61,187.9,0.251,0.084,0.119,0.297,0.12,0.129,5.97,4289878
24.0,LA,152845.0,2008,3.0,6210.0,3988.1,232582.2,47048.0,73.5,162.1,213.448,2254.818,2.61,187.9,0.269,0.101,0.115,0.28,0.116,0.12,5.97,4435586
13.0,MA,349602.0,2008,3.0,2564.8,2510.5,450163.5,54461.0,65.7,162.1,213.448,2254.818,2.61,187.9,0.238,0.091,0.116,0.309,0.118,0.129,5.97,6468967
18.0,MD,342028.0,2008,3.0,1661.3,973.4,337666.4,50561.0,70.6,162.1,213.448,2254.818,2.61,187.9,0.254,0.091,0.113,0.305,0.116,0.121,5.97,5684965
40.0,ME,212810.0,2008,3.0,356.1,261.9,60381.5,42076.0,73.9,162.1,213.448,2254.818,2.61,187.9,0.223,0.075,0.1,0.317,0.136,0.151,5.97,1330509
7.0,MI,137603.0,2008,3.0,8471.8,3935.4,467558.9,41948.0,75.9,162.1,213.448,2254.818,2.61,187.9,0.257,0.09,0.111,0.296,0.119,0.128,5.97,9946889
20.0,MN,213884.0,2008,3.0,2533.4,1644.6,310307.7,49860.0,73.1,162.1,213.448,2254.818,2.61,187.9,0.255,0.093,0.118,0.301,0.114,0.119,5.97,5247018
17.0,MO,140155.0,2008,3.0,1182.3,1241.2,295021.9,47099.0,71.4,162.1,213.448,2254.818,2.61,187.9,0.255,0.093,0.117,0.287,0.117,0.133,5.97,5923916
30.0,MS,116157.0,2008,3.0,1409.8,459.6,109873.6,39184.0,75.4,162.1,213.448,2254.818,2.61,187.9,0.281,0.095,0.112,0.277,0.112,0.123,5.97,2947806
43.0,MT,215865.0,2008,3.0,422.1,112.9,42475.5,42420.0,70.3,162.1,213.448,2254.818,2.61,187.9,0.256,0.095,0.106,0.279,0.127,0.137,5.97,976415
9.0,NC,174035.0,2008,3.0,4208.6,2171.6,495030.3,45877.0,69.4,162.1,213.448,2254.818,2.61,187.9,0.261,0.085,0.119,0.295,0.117,0.123,5.97,9309449
47.0,ND,166451.0,2008,3.0,256.4,227.0,34535.4,53507.0,66.6,162.1,213.448,2254.818,2.61,187.9,0.235,0.12,0.115,0.265,0.128,0.137,5.97,657569
37.0,NE,126722.0,2008,3.0,258.0,499.3,100655.9,50465.0,69.6,162.1,213.448,2254.818,2.61,187.9,0.272,0.092,0.118,0.278,0.111,0.128,5.97,1796378
41.0,NH,252405.0,2008,3.0,989.1,304.0,72142.1,48279.0,75.0,162.1,213.448,2254.818,2.61,187.9,0.237,0.08,0.106,0.324,0.129,0.124,5.97,1315906
